project,name,state,created,duration_hrs,tags,train_return,test_return,loss_actor,loss_critic,entropy_coef,wm_kl,wm_total_loss,debug_alpha_steer,debug_alpha_gas,debug_log_std_mean,epoch,memory_len,kl_div_loss
tmrl-resel,RESeL-TM,crashed,2026-01-27T02:42:36Z,48.58,,,,,,,,,,,,,,
tmrl-resel,Test-Meta-v2.5,killed,2026-01-27T02:44:23Z,0.0,,,,,,,,,,,,,,
RESeL-TM,Test-Meta-v2.5,killed,2026-01-27T02:44:57Z,29.8,"Meta Learning,RESeL",,,-29.3373595772,22.799702476,0.0269446649,,,,,,,1000000,
RESeL-TM,sac_lidar_vanilla,failed,2026-01-27T13:52:57Z,6.32,,,,,,,,,,,,,,
RESeL-TM,sac_lidar_v2,killed,2026-01-27T20:14:39Z,0.69,,,,3.9353968108,0.4030060097,,,,,,,,13928,
RESeL-TM,sac_lidar_fresh,killed,2026-01-27T21:29:45Z,0.54,,,,12.555378027,2.3449240983,,,,,,,,20521,
RESeL-TM,sac_lidar_final,killed,2026-01-27T22:03:34Z,5.53,,,,-2.8642124403,0.1317165053,,,,,,,,263310,
RESeL-TM,Rapid-Meta-Adapt-v1,killed,2026-01-28T08:33:08Z,1.97,,,,0.4918625682,0.0013316648,0.0004705272,,,,,,,72012,
RESeL-TM,Rapid-Meta-Adapt-v1.2,crashed,2026-01-28T10:31:23Z,16.76,,,,-17.4859501421,15.5225231573,0.0079640237,,,,,,,472825,
RESeL-TM,Rapid-Meta-Adapt-v2.0-Fixed,killed,2026-01-28T18:24:12Z,11.65,,,,-10.3164914722,1.2969847792,0.0197230618,,,,,,,696445,
RESeL-TM,Rapid-Meta-Hybrid-v3.0,killed,2026-01-29T06:03:32Z,0.38,,,,,,,,,,,,,,
RESeL-TM,Rapid-Meta-Hybrid-v7.0,killed,2026-01-29T06:36:03Z,0.01,,,,,,,,,,,,,,
RESeL-TM,Rapid-Meta-Hybrid-v2.5,crashed,2026-01-29T06:38:34Z,4.25,,,,0.9800558821,0.0111108004,0.0001013612,,,,,,,143494,
RESeL-TM,Rapid-Meta-Hybrid-v3,killed,2026-01-29T10:54:16Z,5.04,,,,0.4181505695,0.0015675085,5.54765e-05,,,,,,,163904,
RESeL-TM,Rapid-Meta-Hybrid-v3.1,failed,2026-01-29T15:57:30Z,0.1,,,,,,,,,,,,,,
RESeL-TM,Rapid-Meta-LIDAR-v1,failed,2026-01-29T16:05:57Z,11.01,,,,,,,,,,,,,,
RESeL-TM,Rapid-Meta-LIDAR-v3,killed,2026-01-30T10:02:45Z,1.34,,,,0.1307270774,0.1112304517,0.0078348831,,,,,,,37422,
RESeL-TM,Rapid-Meta-RL-SAC-Original,killed,2026-01-30T16:05:47Z,0.9,,,,-3.0641860418,0.0640109068,0.0619345945,,,,,,,42842,
RESeL-TM,Rapid-Meta-RL-CNN_LIDAR,crashed,2026-01-30T18:18:12Z,11.32,,,,,,,,,,,,,2661,
tmrl-test,dazzling-totem-1,finished,2026-02-12T05:48:10Z,0.0,,,,,,,,,,,,,,
tmrl-test,hpsweep_trial_2,finished,2026-02-12T05:48:16Z,0.25,,,,,,,,,,,,,,
tmrl-test,lucky-glade-3,finished,2026-02-12T06:12:56Z,0.0,,,,,,,,,,,,,,
tmrl-test,hpsweep_trial_3,crashed,2026-02-12T06:13:00Z,0.07,,,,,,,,,,,,,,
tmrl-test,dutiful-planet-5,finished,2026-02-12T07:31:15Z,0.0,,,,,,,,,,,,,,
tmrl-test,hpsweep_trial_4,finished,2026-02-12T07:31:26Z,2.05,,,,,,,,,,,,,,
trackmania-rl,faithful-river-1,finished,2026-02-12T09:43:46Z,0.0,,,,,,,,,,,,,,
trackmania-rl,hpsweep_trial_5,finished,2026-02-12T09:43:54Z,3.39,,,,-25.41474938812256,0.29465352781964466,0.01595710325539112,,,0.015957089141011238,0.015957089141011238,-0.13902666125893592,3,,
trackmania-rl,trial/5/genial-sponge-3,finished,2026-02-12T13:07:29Z,0.0,,,,,,,,,,,,,,
trackmania-rl,hpsweep_trial_6,crashed,2026-02-12T13:07:37Z,0.45,,,,,,,,,,,,,,
trackmania-rl,dainty-snowflake-5,finished,2026-02-12T13:41:25Z,0.0,,,,,,,,,,,,,,
trackmania-rl,hpsweep_trial_7,finished,2026-02-12T13:41:29Z,7.91,,,,188.99151955871585,0.9995425660304724,0.015957091003656387,,,0.015957089141011238,0.015957089141011238,-0.13504901421368123,7,,
trackmania-rl,trial/7/classic-sky-7,finished,2026-02-12T21:36:20Z,0.0,,,,,,,,,,,,,,
trackmania-rl,hpsweep_trial_8,crashed,2026-02-12T21:36:28Z,0.13,,,,,,,,,,,,,,
trackmania-rl,azure-morning-9,finished,2026-02-12T21:44:54Z,0.0,,,,,,,,,,,,,,
trackmania-rl,hpsweep_trial_9,finished,2026-02-12T21:44:58Z,8.48,,,,313.8123001953125,1.4513739509004169,0.015957091003656387,,,0.015957089141011238,0.015957089141011238,-0.13338992123007776,7,,
trackmania-rl,trial/9/whole-darkness-11,finished,2026-02-13T06:13:57Z,0.0,,,,,,,,,,,,,,
trackmania-rl,hpsweep_trial_10,crashed,2026-02-13T06:14:05Z,6.4,,,,,,,,,,,,,,
trackmania-rl,Test_stability_run_3,killed,2026-02-16T09:43:07Z,1.48,,,,,,,,,,,,,,
